ID,Is_Churn
55480787,1
9aededf2,0
a5034a09,0
b3256702,0
dc28adb5,1
5aee459a,1
3e83f7ea,1
ed4dfbd0,1
3911bea6,0
e04eff55,1
b62a943c,0
d499c6ec,1
c5d30bb4,0
3b19437b,1
a860111a,1
1ae50fc2,0
281a10a0,0
563b04e8,1
7e6cf810,0
7cc25f3f,1
aa04e6bb,0
01e998e2,0
5262cdc0,0
44d25d82,0
048f1640,1
b5ff85a7,0
a74523eb,1
bf45935f,1
69d6a36a,0
7eb7aeb6,0
b3723c9b,1
dc40ea28,1
91ef0414,0
3ac65d73,0
eb13cf48,0
338cc540,0
49fde12e,1
97daea88,1
a4b4ec5a,1
5f3b8fd8,1
45e6bace,1
742ab9ff,1
cc0f4f2e,0
c01e78e2,0
680d7d9b,0
a58d3300,0
35069eef,1
570bdf6e,0
e3341678,0
3eae1a7f,0
b7a4443e,0
78761714,1
5cc25e6b,0
36ccaeb2,1
a926dd29,1
2a26ead3,1
871d793a,1
a63a4e2a,0
78316037,0
c5fbf1e4,1
b0a93cd1,1
cdaffc4c,0
77fd0cb3,0
5b95d186,1
ddc9cdff,0
60ccfec4,1
b00b938a,0
ddb828a1,1
07659c28,1
10ac8f97,1
00ae893e,0
e897d5d7,1
5df7316e,1
9d1e4c98,1
f70ccc5c,0
dc9aff81,1
e1f3ed67,1
4db28015,0
ecbed9bd,0
28fb4d18,0
15f59e38,0
32069de4,0
fbabae0d,0
85bcd1eb,0
53056dd0,0
46e79647,0
ebf0b4d3,0
122d902b,0
8f9d4e4c,0
7faf8697,1
fd5c422b,1
cb244803,0
c2cbdf33,0
a2ecc1c3,0
442dcfd4,0
ab7748c0,0
a6b1fca6,0
d19105ad,1
703ec965,1
c73a5950,0
c4ee9d86,1
a75ced68,0
bbbc264d,0
f7864845,1
768110cb,1
fbc17cae,1
7bcd84fb,0
997816ab,0
66fa57b7,0
bba2d3fb,0
00bcf12d,0
83d4a9ec,0
9dfcf46a,0
732b9b2d,1
6d02a241,0
ae9cacea,1
c67e9bc4,0
6866f4cd,1
1c0bb452,0
e961e67a,1
92dac76e,1
98993390,1
1d69dbb7,0
1ce25bae,1
d86b4268,1
33010d65,1
45bde3e4,0
7d09a529,0
60da5057,0
d9bafa5b,1
d5c58e4a,0
531e5784,0
b7cf078e,0
531c6124,0
4820fd2d,0
44eff957,1
42837f1c,0
da0000c0,0
bffd2ccb,0
a86bbd79,0
399a8a8b,0
6eed985d,0
da1f1a5a,0
9a99b791,0
5f352bfc,1
b58359ee,1
d7acac75,1
4c2d7683,1
f7b7203b,1
13f6a5aa,1
36ef9f25,0
dc3aa431,0
99cd9ecd,0
41eb9416,1
c9a7f79d,0
1a200ccb,0
8a13b1e3,1
a860509e,1
77201a8b,0
cfa5064a,1
00425d7c,0
8f1b4d90,1
8c6f7212,1
1ab5847b,1
b5c7b886,0
979a34f5,1
07c09e4a,0
a5d27ef9,1
a0cbf5aa,0
7e540bf7,0
30d9caaa,0
f112523a,0
fd4863f9,0
1dd25f1e,0
ed286473,0
b2eaa56f,0
394fe42d,1
efb0bf8c,1
89daefe9,0
18bca543,1
6ff78f0f,1
fda001c3,0
678d2402,0
74621fa3,0
06d8c1dc,0
983bf019,0
03cb62aa,0
794d0916,0
53b567a7,0
f0b31acc,0
856bf9ea,0
e04fa5f5,0
3d98a593,0
d2157ee3,0
38de13e7,0
13bd6538,1
f86cfa0d,1
908c2a29,1
3e35d6f3,0
07279679,1
ff031fc0,0
32355db1,0
956c775c,1
bf16ab7e,0
b1b6decb,0
984f2294,1
f6b3bd31,0
3f2299b6,1
bf5f3a8c,0
4f0001a0,0
5fcdc4c6,0
6c3628a8,0
55069720,1
7d366b8a,0
395ff2d1,0
c8673bcc,0
a4781b92,1
8030168f,1
67522b87,0
fd27d20d,0
3cbeba17,0
bc708164,1
2692391a,0
8699ff93,1
afa16069,0
ccd814f3,1
bb4fe051,1
02c75bc4,1
a3601219,0
dd4bc514,1
8736d45f,0
fc769e68,0
4a104456,0
cf3b5060,0
04186d5f,1
540a84f1,0
36709660,1
d678b20e,0
5a0500c5,1
322e2439,0
740e6798,1
22abb327,0
b0263332,0
47ca10de,0
e25aad41,0
a9161175,0
314c6a82,0
bf6ae417,1
